[LOGGING ENABLED] Output is being saved to results\pso_log_20251118_004001.txt

[PSO ALGORITHM] Algorithm is currently running
Starting PSO loop for 1000 iterations...
Iteration 10/1000, Best Fitness: 12.00
Iteration 20/1000, Best Fitness: 12.00
Iteration 30/1000, Best Fitness: 12.00
Iteration 40/1000, Best Fitness: 12.00
Iteration 50/1000, Best Fitness: 12.00
Iteration 60/1000, Best Fitness: 12.00
Iteration 70/1000, Best Fitness: 12.00
Iteration 80/1000, Best Fitness: 12.00
Iteration 90/1000, Best Fitness: 12.00
Iteration 100/1000, Best Fitness: 12.00
Iteration 110/1000, Best Fitness: 12.00
